	100UNCULTURED_S7_PE_Abundance	14UNCULTURED_S8_PE_Abundance	18UNCULTURED_S12_PE_Abundance	19UNCULTURED_S14_PE_Abundance	24UNCULTURED_S3_PE_Abundance	26UNCULTURED_S4_PE_Abundance	28UNCULTURED_S6_PE_Abundance	2UNCULTURED_S1_PE_Abundance	300UNCULTURED_S9_PE_Abundance	36UNCULTURED_S10_PE_Abundance	400UNCULTURED_S11_PE_Abundance	40UNCULTURED_S15_PE_Abundance	4UNCULTURED_S2_PE_Abundance	500UNCULTURED_S13_PE_Abundance	8UNCULTURED_S5_PE_Abundance	lucaAR31_S16_PE_Abundance	lucaAR32_S17_PE_Abundance	lucaAR33_S18_PE_Abundance	lucaAR34_S19_PE_Abundance
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Dorea.s__Dorea_formicigenerans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.173007392	0	21.03959237
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Dorea.s__Dorea_longicatena	0	0	8.709321371	0	0	0	0	0	0	0	0	0	0	8.022839752	3.893280304	0	17.1951789	0	205.6093741
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Eggerthella.s__Eggerthella_lenta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.031527204	44.50853429
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Eggerthella.s__Eggerthella_sp_1_3_56FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.54981566
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Erysipelotrichaceae_noname.s__Erysipelotrichaceae_bacterium_5_2_54FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.61529458
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	0	0	49.08466504	0	0	0	12.57264229	0	0	6.456561801	0	0	0	0	17.64738095	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Eubacterium.s__Eubacterium_eligens	0	0	0	39.1973896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Eubacterium.s__Eubacterium_rectale	0	0	32.32328318	0	0	0	7.001924195	0	5.456932037	0	0	0	0	20.43199454	14.74344869	0	2069.027671	622.4187064	1671.499855
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Eubacterium.s__Eubacterium_sp_3_1_31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.21898982	0	0	16.97692522
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Flavonifractor.s__Flavonifractor_plautii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.75703595	4.625515518	0	16.25785907
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Holdemania.s__Holdemania_filiformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.067659688	0	2.997440757
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_2_1_58FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.17699154	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_46FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.45956966	0	0	28.1224558
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_57FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.558854229	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_7_1_58FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.95709091	0	0	46.06530053
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Odoribacter.s__Odoribacter_splanchnicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.95010143	36.14277775	33.91865154	22.00789859
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Parasutterella.s__Parasutterella_excrementihominis	61.982452	0	0	0	0	0	0	0	119.8849423	0	95.94337012	0	0	65.57149547	0	0	0	15.80078012	66.3771391
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	82.92853343	53.03836099	95.32231828	45.76274568	19.96221875	5.994930778	177.3308289	85.38802556	130.619414	28.98414982	92.23297119	112.215793	5.482058358	145.6456293	173.3202529	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Roseburia.s__Roseburia_hominis	0	0	0	0	0	0	0	0	0	8.87420364	0	0	0	0	0	0	14.60229744	18.55122371	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Roseburia.s__Roseburia_intestinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.28998998	259.6600561	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Ruminococcus.s__Ruminococcus_albus	0	0	0	0	27.88355327	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Ruminococcus.s__Ruminococcus_sp_5_1_39BFAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179.2628927	36.43328657	29.52080901	246.3489174
NONMEVIPP-PWY: methylerythritol phosphate pathway I|unclassified	840.4894273	839.9506903	2149.103295	1410.014077	1259.743853	2159.134001	1746.572066	1488.319664	1241.076483	1949.681109	1068.968866	2155.253992	1196.448452	1457.294971	1358.762511	1023.626867	1507.352082	2085.832841	775.0690172
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)	579.4020029	279.85936	1396.821101	968.3809442	454.8737176	1233.167337	2197.040809	939.5506697	936.3472095	878.8932113	762.6269817	1003.971415	389.3124746	1182.472989	2001.007775	3624.861565	5959.856823	3447.496211	3565.149051
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Alistipes.s__Alistipes_indistinctus	18.3981682	0	0	0	0	0	0	0	0	0	16.13622513	0	0	2.451201486	0	0	0	18.41773969	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Alistipes.s__Alistipes_shahii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109.0427721	0	93.28047831	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	4.042257614	0	0	0	0	0	0	0	0	0	0	0	0	28.63959924	16.69963746	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.7481073	0	227.213436	91.40089159
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	20.80582499	0	0	7.096487621	113.9494584	0	0	8.552403607	0	5.401086966	0	9.840742265	189.0933739	121.3276561	205.3694878	11.26089056	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Blautia.s__Ruminococcus_gnavus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.98872356	0	0	114.3854666
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Blautia.s__Ruminococcus_obeum	12.01052866	0	14.36182227	7.212933007	2.915718905	3.247436088	4.11522027	7.584733895	13.26041473	23.85405892	7.845674074	9.811300109	0	35.84609565	4.716793546	1.884597437	2.743484225	6.90364682	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Blautia.s__Ruminococcus_torques	0	0	8.602584595	0	0	0	0	0	0	2.544127014	0	0	0	10.68265506	6.959110133	0	0	10.18776006	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Clostridiales_noname.s__Bacteroides_pectinophilus	0	0	9.266790116	16.84298804	0	28.80843136	245.4401084	0	0	0	0	0	0	0	10.07887089	0	0	120.3095218	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Clostridium.s__Clostridium_asparagiforme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.023439535	0	0	9.866339064
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Clostridium.s__Clostridium_bolteae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.591747963	0	6.713605508
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Coprococcus.s__Coprococcus_catus	0	0	8.330642471	0	0	0	4.829830142	2.969010948	0	1.680760629	0	3.3251643	4.117047008	0	5.966697417	0	9.057141062	3.932547843	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Desulfovibrio.s__Desulfovibrio_piger	18.65454614	0	0	1.275316224	0	0	0	1.987688837	0	0	15.51422173	0	5.073460798	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Eubacterium.s__Eubacterium_eligens	0	0	14.24321674	137.3371015	14.34255133	8.33518518	53.49135071	6.673147707	7.574704446	5.158402912	15.2450197	0	17.14876552	29.01736307	173.4021986	0	32.99735565	117.9153365	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Eubacterium.s__Eubacterium_siraeum	4.833070297	8.611223032	100.9721736	38.06683069	19.22822746	33.07931824	145.6954265	17.96896041	0	86.06574211	2.366051555	17.36948227	0	0	33.4362071	66.20935841	0	114.6915412	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	21.22592818	13.39143608	122.249612	58.71407186	15.98457522	15.70203086	246.8720086	59.49547506	189.8487167	115.7505281	53.76282602	21.25307131	0	177.8106077	184.0014084	1354.506724	1422.822668	384.4006307	1214.353674
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_2_1_58FAA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.17765937	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	0	0	0	0	0	0	1.903867992	0	0	0	0	3.764301057	0	0	0	0	31.27444013	15.14931052	195.3182328
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Odoribacter.s__Odoribacter_splanchnicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.64284712	45.76537899	44.71202393	35.87802126
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Peptostreptococcaceae_noname.s__Clostridium_bartlettii	0	0	0	0	12.44471112	0	0	0	0	0	0	0	0	0	0	0	9.355335902	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	84.91812706	59.68490974	112.2305653	38.17199613	57.48583657	11.04200837	208.9079238	85.33646376	132.3267147	26.9153885	104.660897	119.7936836	7.402917215	136.9768946	191.9707919	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Roseburia.s__Roseburia_intestinalis	0	0	0	2.449706586	0	0	7.960118505	0	0	0	3.188550622	0	0	0	10.5741784	74.41227623	456.5258265	6.313484385	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Ruminococcus.s__Ruminococcus_bromii	0	0	0	0	0	7.917375209	0	0	0	0	0	7.728570918	0	0	0	0	326.5878717	69.08545581	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Ruminococcus.s__Ruminococcus_lactaris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.438294494	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Treponema.s__Treponema_succinifaciens	0	0	0	11.90793747	0	13.58113373	0	15.88974995	0	0	0	28.58866404	0	0	0	0	0	0	0
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|unclassified	302.667711	162.4539351	721.3856902	540.5101614	279.5052446	970.6876122	965.8874779	669.6012138	396.9195899	487.9496747	368.9233936	634.0451385	310.6191512	630.8354882	1080.918099	666.6973568	896.0378403	866.9844771	537.4364833
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	40.16691728	7.883431794	177.3450441	35.27117752	232.9178691	62.23010033	108.8392448	150.1116551	287.4315458	303.5959361	15.74951974	289.549381	8.054946156	133.9986358	95.52467697	508.4873532	1772.701773	1098.336238	313.7510515
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Bifidobacterium.s__Bifidobacterium_animalis	0	0	0	0	0	0	0	0	0	0	4.183418113	0	0	0	0	0	0	0	0
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Bifidobacterium.s__Bifidobacterium_longum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.001781229	0	55.55209273
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Ruminococcus.s__Ruminococcus_champanellensis	0	0	0	0	0	10.97168532	0	0	0	0	0	4.716934392	0	0	0	0	0	0	0
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|unclassified	34.98592028	0	0	0	201.1026494	0	76.06631408	0	221.6345902	120.7873312	0	246.3265873	0	110.1271319	68.43342927	0	0	0	0
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation	0	0	51.56984748	0	0	0	0	0	0	32.07039328	0	0	0	0	0	0	0	0	0
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation|g__Escherichia.s__Escherichia_coli	0	0	29.87050289	0	0	0	0	0	0	18.95497118	0	0	0	0	0	0	0	0	0
ORNDEG-PWY: superpathway of ornithine degradation	0	0	62.58137841	0	0	0	0	0	0	43.1374587	0	0	0	0	0	0	0	0	0
ORNDEG-PWY: superpathway of ornithine degradation|g__Escherichia.s__Escherichia_coli	0	0	32.93176741	0	0	0	0	0	0	25.73683843	0	0	0	0	0	0	0	0	0
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	0	0	193.5694218	0	0	0	57.60799315	0	0	106.6652725	0	0	7.240645774	0	25.116107	49.11418751	0	0	58.48451371
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)|g__Escherichia.s__Escherichia_coli	0	0	65.36311562	0	0	0	13.31229225	0	0	37.160803	0	0	0	0	6.566519119	0	0	0	0
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.33098999	0	0	39.65177559
P108-PWY: pyruvate fermentation to propanoate I	2.169094955	13.85253666	203.6223727	20.54859256	99.1534047	212.701919	89.41154369	169.1674667	0	68.48973264	54.38885099	154.7929999	31.21113418	0	67.17724431	279.9095542	28.25011849	128.6249763	0
P108-PWY: pyruvate fermentation to propanoate I|unclassified	0	0	0	0	36.3183797	0	20.15632526	0	0	0	45.76385239	57.41880727	11.94699479	0	0	0	0	0	0
P122-PWY: heterolactic fermentation	0	0	0	0	0	0	21.11451145	0	29.82734378	0	0	0	0	0	5.431415079	0	95.03129982	0	0
P122-PWY: heterolactic fermentation|unclassified	0	0	0	0	0	0	0	0	26.17779303	0	0	0	0	0	0	0	0	0	0
P124-PWY: Bifidobacterium shunt	0	0	0	57.75539384	0	0	0	32.56988508	36.84920613	19.95966227	0	49.89331427	0	0	19.03325051	0	46.3308807	24.84150002	0
P124-PWY: Bifidobacterium shunt|unclassified	0	0	0	53.87302868	0	0	0	31.54053687	34.71469911	18.70889439	0	43.78106687	0	0	17.988344	0	43.20418368	22.43545643	0
P161-PWY: acetylene degradation	322.6060329	61.50128493	193.4210432	37.27089523	126.473974	73.4439131	77.09304932	27.43451794	39.35481609	113.3854535	341.7479234	40.4611944	24.17179107	141.2624654	56.66818445	263.1054693	160.531787	117.5171601	66.65388019
P161-PWY: acetylene degradation|unclassified	273.2323558	55.9808429	107.137755	34.86174691	115.4363439	68.34311132	44.09313092	26.1313129	38.22606195	79.33368604	305.824964	38.18638141	23.36172182	126.2892638	37.26913109	5.531726525	41.20432979	38.51537221	17.12572486
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)	51.11190688	30.8632073	101.0240181	32.5430061	51.1779934	102.7250169	74.41867118	58.18523818	58.37993694	53.00267157	63.29734601	75.71632242	67.94734197	66.93280291	84.85357267	364.7584287	158.408106	216.1394905	483.322418
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)|unclassified	43.3009077	28.90273895	71.98560772	25.76366677	41.01792142	71.65595448	52.03211711	49.21278791	54.24965993	40.74835713	52.02159306	49.73906155	44.49141231	55.6147974	52.76911495	103.3402325	8.730744828	44.69220378	121.7476607
P163-PWY: L-lysine fermentation to acetate and butanoate	38.35835505	0	0	6.294656494	0	14.82396185	0	43.04221506	36.08532293	11.45076602	0	23.53764551	0	32.10265816	0	0	0	0	0
P163-PWY: L-lysine fermentation to acetate and butanoate|unclassified	0	0	0	0	0	0	0	0	25.19881106	0	0	12.12734654	0	0	0	0	0	0	0
P164-PWY: purine nucleobases degradation I (anaerobic)	44.61553391	0	109.5369879	0	29.63808303	36.6091306	90.96823367	33.2956521	67.92566931	96.65162602	0	36.89313292	0	116.3174214	98.94055166	126.6407868	84.36939332	0	222.2652514
P164-PWY: purine nucleobases degradation I (anaerobic)|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213.8177673
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	12.1788214	0	0	36.84912448	0	14.63551007	89.85470391	31.96548142	10.96406476	49.37043456	4.901895476	41.28469645	0	32.70676127	99.6039585	12.38404709	322.35457	67.66568289	286.7406814
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)|unclassified	12.13578946	0	0	36.67241238	0	14.62656581	55.74147082	31.88415043	10.92932742	49.01277525	4.894750313	36.3875575	0	32.54458449	13.55885198	5.041945752	257.4370871	50.44176274	32.46532054
P23-PWY: reductive TCA cycle I	0	0	41.32173109	0	36.80124211	0	23.19370607	0	0	0	0	0	0	0	78.622747	0	115.0740897	0	0
P23-PWY: reductive TCA cycle I|unclassified	0	0	36.73400405	0	27.33241608	0	20.65459456	0	0	0	0	0	0	0	26.13490849	0	0	0	0
P261-PWY: coenzyme M biosynthesis I	4.502697826	0	19.50081479	4.953535135	0	5.497567682	0	4.843721461	0	11.56751738	0	5.649611539	0	0	0	0	0	0	0
P261-PWY: coenzyme M biosynthesis I|g__Methanosphaera.s__Methanosphaera_stadtmanae	0	0	17.24235476	0	0	5.083835164	0	3.728546233	0	9.938274649	0	5.537414249	0	0	0	0	0	0	0
"P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"	0	53.61930773	302.5764571	0	52.87479936	111.1138089	137.1071115	107.6273187	0	149.8130973	28.59415194	160.1098169	83.24529432	48.64518084	99.88618129	450.9127599	919.267986	1062.317771	474.8649475
"P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I|g__Escherichia.s__Escherichia_coli"	0	0	0	0	0	0	0	0	0	4.3062049	0	0	0	0	0	0	0	0	0
"P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I|unclassified"	0	0	9.061479388	0	0	91.73404783	10.80889833	47.44309826	0	49.29191176	0	0	0	18.94691667	50.95338013	48.43780672	0	30.68876843	67.8183758
P42-PWY: incomplete reductive TCA cycle	216.2959435	120.1363386	476.8493446	124.777974	105.3490913	469.8318077	335.5360489	258.2343552	201.5435263	180.8406801	254.2472558	269.5779084	180.0553405	353.4365044	398.990914	490.6965701	1210.353541	883.540047	480.2142954
P42-PWY: incomplete reductive TCA cycle|unclassified	150.6209841	59.32761232	165.9576699	46.40229922	66.20576179	165.4268829	105.6743134	124.5100689	160.8467129	68.34620592	173.2153413	135.379518	74.38184962	268.5108962	48.0140624	0	0	135.0824091	0
P441-PWY: superpathway of N-acetylneuraminate degradation	175.2361912	72.29719016	406.2233616	111.9239635	85.89193824	184.8900839	200.8183142	88.01172115	140.2528132	181.6700938	399.8054854	124.5633865	64.67742286	387.764253	159.0729379	694.7842459	532.2759152	376.2679792	738.9170903
P441-PWY: superpathway of N-acetylneuraminate degradation|unclassified	121.2002872	0	168.8338039	76.26108742	55.87821553	156.0402256	90.41888807	74.69907556	106.5935487	0	199.8659596	105.1502933	41.31127435	244.4641527	25.05433186	19.1272509	35.3526888	123.4273402	0
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate"	164.1440824	110.0813818	325.9408299	73.07596627	41.72767763	135.4924639	94.83808778	53.61785664	70.94455367	77.52300468	206.9512498	82.63961172	48.76469718	126.307086	60.74107001	187.6977435	96.52624824	192.9824954	319.1215275
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|g__Anaerostipes.s__Anaerostipes_hadrus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.6512578	27.17553299	0	0
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|g__Escherichia.s__Escherichia_coli"	0	0	58.83208956	0	0	0	8.069525087	0	0	22.04656963	0	0	0	0	4.786875745	0	0	0	0
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA"	0	0	0	0	0	0	3.479226499	0	0	0	0	9.654486206	0	0	0	0	15.74191365	16.30032501	125.9265865
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|unclassified"	104.6500981	33.09360417	195.7512331	53.29474298	30.435088	134.5620034	47.7214998	53.23571284	70.69918427	0	157.1617542	82.4342234	48.5964209	125.3579004	12.37523911	9.434881537	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I	1010.865878	285.5282989	1305.817204	935.8530538	645.6888433	1577.302403	1923.760548	1151.90468	1400.68737	763.0463007	1404.343404	1383.549413	582.9852069	1806.731599	1699.640173	7939.926865	9573.41437	4657.497971	10052.40995
PANTO-PWY: phosphopantothenate biosynthesis I|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	13.60760268	0	0	0	0	0	0	0	7.763064653	0	22.39398931	0	0	4.872218431	0	27.94983457	4.572158392	12.28539501	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Akkermansia.s__Akkermansia_muciniphila	3.472230847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125.2288005	0	59.49047	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Alistipes.s__Alistipes_finegoldii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.99810831	0	89.04183508	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Alistipes.s__Alistipes_indistinctus	8.65115082	0	0	0	0	0	0	0	0	0	21.23514613	0	0	6.426403013	0	0	0	19.13162981	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Alistipes.s__Alistipes_putredinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333.4179866	0	158.9473773	441.0829317
PANTO-PWY: phosphopantothenate biosynthesis I|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	3.9271901	0	0	0	0	0	0	0	0	0	0	0	0	18.53665334	8.464071951	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_caccae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.2252218	208.8407233	60.18187828	246.3742392
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_cellulosilyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.999979361	0	464.0881863	277.0620036
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_coprocola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.40830582	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_dorei	0	0	0	0	0	0	56.09133118	0	0	0	0	0	0	0	37.54274702	53.87037456	302.675869	282.3022967	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_finegoldii	0	0	0	0	0	0	11.01551615	0	0	0	0	0	0	0	7.562415048	89.47153673	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_fragilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.88180865	26.36953876	122.6214158	32.36518071
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_intestinalis	0	0	0	0	0	0	7.686790656	0	0	0	0	0	0	0	17.92319558	0	0	433.8287526	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_nordii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.47863722	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123.2230662	87.6669643	124.9134222	905.7941857
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_stercoris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2375.036011	3134.40632	0	360.8789423
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.03806356	0	226.1402968	103.1723415
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis	0	0	5.40014255	1.988728741	0	9.881001504	0	7.871329703	0	4.126089904	3.702305418	0	3.619255155	0	0	898.482462	726.8368594	393.0329363	1052.585486
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	761.1755584	1263.277605	0	2241.323325
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	9.072925745	0	0	3.847627883	87.58895816	0	0	0	0	0	0	2.03053055	157.1678404	65.18622768	128.1329015	12.52662633	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Barnesiella.s__Barnesiella_intestinihominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123.2806726	0	20.09764186	303.5090428
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bilophila.s__Bilophila_wadsworthia	0	0	0	0	0	0	0	0	0	0	0	0	2.331906027	0	0	25.51643104	0	0	51.76484595
PANTO-PWY: phosphopantothenate biosynthesis I|g__Blautia.s__Ruminococcus_gnavus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.53634422	5.915956508	0	57.43773855
PANTO-PWY: phosphopantothenate biosynthesis I|g__Blautia.s__Ruminococcus_torques	0	0	4.078508715	2.127533955	0	0	0	0	0	0	0	0	0	7.126828848	2.152259102	76.36136225	1.876942155	9.944062587	41.75561135
PANTO-PWY: phosphopantothenate biosynthesis I|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	2.713980968	0	0	0	0	0	0	0	5.189457869	0	7.585634	0	0	2.737955636	0	0	0	18.13633409	62.0628419
PANTO-PWY: phosphopantothenate biosynthesis I|g__Butyrivibrio.s__Butyrivibrio_crossotus	0	0	1.82445394	0	0	3.881162137	4.419630539	0	3.861588751	0	0	0	0	0	1.961633811	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I|g__Coprobacter.s__Coprobacter_fastidiosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.61706059	0	0	0
