ID	100UNCULTURED_S7_PE_profile_species	14UNCULTURED_S8_PE_profile_species	18UNCULTURED_S12_PE_profile_species	19UNCULTURED_S14_PE_profile_species	24UNCULTURED_S3_PE_profile_species	26UNCULTURED_S4_PE_profile_species	28UNCULTURED_S6_PE_profile_species	2UNCULTURED_S1_PE_profile_species	300UNCULTURED_S9_PE_profile_species	36UNCULTURED_S10_PE_profile_species	400UNCULTURED_S11_PE_profile_species	40UNCULTURED_S15_PE_profile_species	4UNCULTURED_S2_PE_profile_species	500UNCULTURED_S13_PE_profile_species	8UNCULTURED_S5_PE_profile_species	lucaAR31_S16_PE_profile_species	lucaAR32_S17_PE_profile_species	lucaAR33_S18_PE_profile_species	lucaAR34_S19_PE_profile_species
s__Prevotella_copri	7.14792	1.29126	1.91997	12.94979	8.71649	19.84235	0.10957	10.44011	5.00027	1.85141	12.1042	8.62754	13.49691	26.90846	0.01682	0.0	0.0	0.0	0.0
s__Prevotella_stercorea	0.15354	0.07312	0.52678	0.27986	0.45054	4.93981	0.0	1.27764	0.26419	0.27523	0.18476	0.47575	0.01543	0.93186	0.0	0.0	0.0	0.0	0.0
s__Propionibacterium_acnes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00026	0.0	0.0
s__Pseudoflavonifractor_capillosus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00528	0.0	0.0	0.0
s__Pyramidobacter_piscolens	0.0	0.0	0.0	0.0	0.23895	0.0	0.0	0.0	0.0	0.0	0.0	0.03749	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Roseburia_hominis	0.02824	0.0298	0.43801	1.76577	1.39327	0.3603	0.25967	0.90754	0.16031	1.86202	0.01195	0.09452	0.958	0.08842	0.45587	0.0	0.16097	0.59068	0.0324
s__Roseburia_intestinalis	0.0	0.12637	0.0	0.2493	0.09756	0.00715	0.5454	0.0	0.0026	0.0	0.03035	0.0	0.0	0.0	0.92666	0.68925	3.06863	0.07807	0.0
s__Roseburia_inulinivorans	0.09961	0.0	0.0	0.19441	0.0	0.01151	0.31588	0.01692	0.3409	0.04182	0.16975	0.0	0.0	0.89885	0.46019	0.19942	0.08587	0.05951	0.0
s__Roseburia_unclassified	0.8391	0.12399	0.0	0.0	0.0	0.04472	0.0	0.0	0.0	0.0	0.66869	0.21336	0.0	0.0	0.0	0.0	0.0	1.06187	0.0
s__Ruminococcaceae_bacterium_D16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00539	0.0	0.0	1.0155
s__Ruminococcus_albus	0.0	0.0	0.0	0.0	11.15427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00432	0.00249	0.0
s__Ruminococcus_bromii	0.0	0.0	0.72468	0.67724	0.0	1.40597	0.11562	1.33394	0.0	1.08229	0.0	0.95272	0.0	0.0	0.03487	0.0	2.72328	1.58821	0.0
s__Ruminococcus_callidus	0.0	0.0	0.03185	0.0	0.0	0.0	0.0	0.0	0.0	0.09085	0.0	0.0	0.0	0.0	0.0	0.0	0.36088	0.0	0.0
s__Ruminococcus_champanellensis	0.0	0.0	0.02685	1.89217	0.05534	2.65194	0.0	4.53271	0.0	0.0	0.0	1.44785	0.83933	0.0	0.0	0.0	0.0	0.0	0.0
s__Ruminococcus_flavefaciens	1.72722	5.51502	0.10974	1.05982	1.23019	0.73833	0.0	1.15079	0.07824	0.28449	0.79621	1.54597	7.39454	0.12483	0.0	0.0	0.0	0.0	0.0
s__Ruminococcus_gnavus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52473	0.02617	0.0	0.67336
s__Ruminococcus_lactaris	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03227	0.0328	0.0
s__Ruminococcus_obeum	1.01884	0.01683	1.15728	0.75991	0.32209	0.70454	0.34409	1.02262	0.80575	1.73792	0.46635	1.27191	0.38664	1.57588	0.38505	0.08499	0.03933	0.23751	0.00224
s__Ruminococcus_sp_5_1_39BFAA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8259	0.24753	0.81539	1.96402
s__Ruminococcus_torques	0.1378	0.0	0.15788	0.15678	0.2928	0.13268	0.14049	0.5726	0.0	0.72178	0.09644	0.0	0.29638	0.22503	0.28161	1.40624	0.02231	0.19036	0.78436
s__Sphaerochaeta_unclassified	0.0	0.0	0.0	0.0	0.0961	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Streptococcus_parasanguinis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01049	0.0	0.00447
s__Streptococcus_salivarius	0.0	0.0	0.0	0.0	0.0	0.00295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00656	0.01149	0.0	0.00646
s__Streptococcus_thermophilus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0183
s__Subdoligranulum_sp_4_3_54A2FAA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57073	0.0	0.0	0.0
s__Subdoligranulum_unclassified	17.20686	40.095	29.40055	14.74255	18.86758	7.69049	14.03368	29.30577	9.36072	31.06613	12.96396	11.29532	23.48469	5.61981	14.81794	16.63471	2.18764	10.38838	2.67199
s__Sutterella_wadsworthensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10619	1.23071	0.0	0.0
s__Treponema_bryantii	0.18413	0.79499	0.0	1.03676	0.19242	0.0	0.0	1.44491	0.0	0.0	0.09233	9.86289	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Treponema_succinifaciens	0.11079	0.0	0.00182	2.38168	1.16546	2.52164	0.0	2.5341	0.00823	0.0	0.21722	3.99135	0.75782	0.02741	0.0	0.0	0.0	0.0	0.0
s__Veillonella_atypica	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02068	0.0	0.0
s__Veillonella_dispar	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00251	0.0	0.0
s__Veillonella_parvula	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01957	0.0	0.0
s__Veillonella_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01882	0.0	0.00358
s__unclassified	0.0	0.0	0.15005	0.0	0.38462	0.03509	0.0	0.17004	0.07887	0.0	0.0	0.2842	0.305	0.01514	0.05488	0.26875	0.02716	0.0244	0.02118
